Nivel y Ciclo;Rama de la enseñanza;Tipo de universidad;Tipo de centro;Sexo;Total
Matrícula de Grado;Total Ramas;Universidades públicas;Total Centros;Hombres;310.685
Matrícula de Grado;Total Ramas;Universidades públicas;Centros propios;Ambos Sexos;657.143
Matrícula de Grado;Total Ramas;Universidades públicas;Centros propios;Mujeres;362.020
Matrícula de Grado;Total Ramas;Universidades públicas;Centros propios;Hombres;295.123
Matrícula de Grado;Total Ramas;Universidades públicas;Centros adscritos;Ambos Sexos;38.979
Matrícula de Grado;Total Ramas;Universidades públicas;Centros adscritos;Mujeres;23.417
Matrícula de Grado;Total Ramas;Universidades públicas;Centros adscritos;Hombres;15.562
Matrícula de Grado;Total Ramas;Universidades privadas;Total Centros;Ambos Sexos;113.954
Matrícula de Grado;Total Ramas;Universidades privadas;Total Centros;Mujeres;63.185
Matrícula de Grado;Total Ramas;Universidades privadas;Total Centros;Hombres;50.769
Matrícula de Grado;Total Ramas;Universidades privadas;Centros propios;Ambos Sexos;111.271
Matrícula de Grado;Total Ramas;Universidades privadas;Centros propios;Mujeres;61.680
Matrícula de Grado;Total Ramas;Universidades privadas;Centros propios;Hombres;49.591
Matrícula de Grado;Total Ramas;Universidades privadas;Centros adscritos;Ambos Sexos;2.683
Matrícula de Grado;Total Ramas;Universidades privadas;Centros adscritos;Mujeres;1.505
Matrícula de Grado;Total Ramas;Universidades privadas;Centros adscritos;Hombres;1.178
Matrícula de Grado;Ciencias Sociales y Jurídicas;Total Universidades;Total Centros;Ambos Sexos;377.414
Matrícula de Grado;Ciencias Sociales y Jurídicas;Total Universidades;Total Centros;Mujeres;230.412
Matrícula de Grado;Ciencias Sociales y Jurídicas;Total Universidades;Total Centros;Hombres;147.002
Matrícula de Grado;Ciencias Sociales y Jurídicas;Total Universidades;Centros propios;Ambos Sexos;356.230
Matrícula de Grado;Ciencias Sociales y Jurídicas;Total Universidades;Centros propios;Mujeres;216.852
Matrícula de Grado;Ciencias Sociales y Jurídicas;Total Universidades;Centros propios;Hombres;139.378
Matrícula de Grado;Ciencias Sociales y Jurídicas;Total Universidades;Centros adscritos;Ambos Sexos;21.184
Matrícula de Grado;Ciencias Sociales y Jurídicas;Total Universidades;Centros adscritos;Mujeres;13.560
Matrícula de Grado;Ciencias Sociales y Jurídicas;Total Universidades;Centros adscritos;Hombres;7.624
Matrícula de Grado;Ciencias Sociales y Jurídicas;Universidades públicas;Total Centros;Ambos Sexos;315.089
Matrícula de Grado;Ciencias Sociales y Jurídicas;Universidades públicas;Total Centros;Mujeres;194.085
Matrícula de Grado;Ciencias Sociales y Jurídicas;Universidades públicas;Total Centros;Hombres;121.004
Matrícula de Grado;Ciencias Sociales y Jurídicas;Universidades públicas;Centros propios;Ambos Sexos;294.880
Matrícula de Grado;Ciencias Sociales y Jurídicas;Universidades públicas;Centros propios;Mujeres;181.035
Matrícula de Grado;Ciencias Sociales y Jurídicas;Universidades públicas;Centros propios;Hombres;113.845
Matrícula de Grado;Ciencias Sociales y Jurídicas;Universidades públicas;Centros adscritos;Ambos Sexos;20.209
Matrícula de Grado;Ciencias Sociales y Jurídicas;Universidades públicas;Centros adscritos;Mujeres;13.050
Matrícula de Grado;Ciencias Sociales y Jurídicas;Universidades públicas;Centros adscritos;Hombres;7.159
Matrícula de Grado;Ciencias Sociales y Jurídicas;Universidades privadas;Total Centros;Ambos Sexos;62.325
Matrícula de Grado;Ciencias Sociales y Jurídicas;Universidades privadas;Total Centros;Mujeres;36.327
Matrícula de Grado;Ciencias Sociales y Jurídicas;Universidades privadas;Total Centros;Hombres;25.998
Matrícula de Grado;Ciencias Sociales y Jurídicas;Universidades privadas;Centros propios;Ambos Sexos;61.350
