Comunidades Autónomas;Nacionalidad (regiones);Sexo;Total
País Vasco;América Latina y Caribe;Hombres;139
País Vasco;Norte de África;Ambos Sexos;..
País Vasco;Norte de África;Mujeres;..
País Vasco;Norte de África;Hombres;..
País Vasco;Resto de África;Ambos Sexos;..
País Vasco;Resto de África;Mujeres;..
País Vasco;Resto de África;Hombres;..
País Vasco;Asia y Oceanía;Ambos Sexos;..
País Vasco;Asia y Oceanía;Mujeres;..
País Vasco;Asia y Oceanía;Hombres;..
Rioja (La);TOTAL;Ambos Sexos;4.849
Rioja (La);TOTAL;Mujeres;2.525
Rioja (La);TOTAL;Hombres;2.324
Rioja (La);España;Ambos Sexos;4.701
Rioja (La);España;Mujeres;2.432
Rioja (La);España;Hombres;2.269
Rioja (La);Unión Europea (27);Ambos Sexos;..
Rioja (La);Unión Europea (27);Mujeres;..
Rioja (La);Unión Europea (27);Hombres;..
Rioja (La);Resto de Europa;Ambos Sexos;..
Rioja (La);Resto de Europa;Mujeres;.
Rioja (La);Resto de Europa;Hombres;.
Rioja (La);EE.UU. y Canadá;Ambos Sexos;.
Rioja (La);EE.UU. y Canadá;Mujeres;.
Rioja (La);EE.UU. y Canadá;Hombres;.
Rioja (La);América Latina y Caribe;Ambos Sexos;..
Rioja (La);América Latina y Caribe;Mujeres;..
Rioja (La);América Latina y Caribe;Hombres;..
Rioja (La);Norte de África;Ambos Sexos;..
Rioja (La);Norte de África;Mujeres;..
Rioja (La);Norte de África;Hombres;.
Rioja (La);Resto de África;Ambos Sexos;.
Rioja (La);Resto de África;Mujeres;.
Rioja (La);Resto de África;Hombres;.
Rioja (La);Asia y Oceanía;Ambos Sexos;..
Rioja (La);Asia y Oceanía;Mujeres;..
Rioja (La);Asia y Oceanía;Hombres;..
Total Universidades No Presenciales;TOTAL;Ambos Sexos;204.046
Total Universidades No Presenciales;TOTAL;Mujeres;113.699
Total Universidades No Presenciales;TOTAL;Hombres;90.347
Total Universidades No Presenciales;España;Ambos Sexos;198.614
Total Universidades No Presenciales;España;Mujeres;109.956
Total Universidades No Presenciales;España;Hombres;88.658
Total Universidades No Presenciales;Unión Europea (27);Ambos Sexos;2.432
Total Universidades No Presenciales;Unión Europea (27);Mujeres;1.795
Total Universidades No Presenciales;Unión Europea (27);Hombres;637
Total Universidades No Presenciales;Resto de Europa;Ambos Sexos;587
Total Universidades No Presenciales;Resto de Europa;Mujeres;420
Total Universidades No Presenciales;Resto de Europa;Hombres;167
Total Universidades No Presenciales;EE.UU. y Canadá;Ambos Sexos;..
Total Universidades No Presenciales;EE.UU. y Canadá;Mujeres;..
Total Universidades No Presenciales;EE.UU. y Canadá;Hombres;..
Total Universidades No Presenciales;América Latina y Caribe;Ambos Sexos;1.822
Total Universidades No Presenciales;América Latina y Caribe;Mujeres;1.291
Total Universidades No Presenciales;América Latina y Caribe;Hombres;531
Total Universidades No Presenciales;Norte de África;Ambos Sexos;165
Total Universidades No Presenciales;Norte de África;Mujeres;..
Total Universidades No Presenciales;Norte de África;Hombres;..
Total Universidades No Presenciales;Resto de África;Ambos Sexos;288
Total Universidades No Presenciales;Resto de África;Mujeres;..
Total Universidades No Presenciales;Resto de África;Hombres;213
Total Universidades No Presenciales;Asia y Oceanía;Ambos Sexos;..
Total Universidades No Presenciales;Asia y Oceanía;Mujeres;..
Total Universidades No Presenciales;Asia y Oceanía;Hombres;..
UDIMA;TOTAL;Ambos Sexos;2.695
UDIMA;TOTAL;Mujeres;1.278
UDIMA;TOTAL;Hombres;1.417
UDIMA;España;Ambos Sexos;2.628
UDIMA;España;Mujeres;1.226
UDIMA;España;Hombres;1.402
