Nivel y Ciclo;Grupo de edad;Tipo de universidad;Tipo de centro;Sexo;Total
Matrícula de Grado;De 21 a 25 años;Total Universidades;Centros propios;Hombres;1.004
Matrícula de Grado;De 21 a 25 años;Total Universidades;Centros adscritos;Ambos Sexos;..
Matrícula de Grado;De 21 a 25 años;Total Universidades;Centros adscritos;Mujeres;..
Matrícula de Grado;De 21 a 25 años;Total Universidades;Centros adscritos;Hombres;.
Matrícula de Grado;De 21 a 25 años;Universidades públicas;Total Centros;Ambos Sexos;953
Matrícula de Grado;De 21 a 25 años;Universidades públicas;Total Centros;Mujeres;435
Matrícula de Grado;De 21 a 25 años;Universidades públicas;Total Centros;Hombres;518
Matrícula de Grado;De 21 a 25 años;Universidades públicas;Centros propios;Ambos Sexos;942
Matrícula de Grado;De 21 a 25 años;Universidades públicas;Centros propios;Mujeres;426
Matrícula de Grado;De 21 a 25 años;Universidades públicas;Centros propios;Hombres;516
Matrícula de Grado;De 21 a 25 años;Universidades públicas;Centros adscritos;Ambos Sexos;..
Matrícula de Grado;De 21 a 25 años;Universidades públicas;Centros adscritos;Mujeres;.
Matrícula de Grado;De 21 a 25 años;Universidades públicas;Centros adscritos;Hombres;.
Matrícula de Grado;De 21 a 25 años;Universidades privadas;Total Centros;Ambos Sexos;1.114
Matrícula de Grado;De 21 a 25 años;Universidades privadas;Total Centros;Mujeres;622
Matrícula de Grado;De 21 a 25 años;Universidades privadas;Total Centros;Hombres;492
Matrícula de Grado;De 21 a 25 años;Universidades privadas;Centros propios;Ambos Sexos;1.104
Matrícula de Grado;De 21 a 25 años;Universidades privadas;Centros propios;Mujeres;616
Matrícula de Grado;De 21 a 25 años;Universidades privadas;Centros propios;Hombres;488
Matrícula de Grado;De 21 a 25 años;Universidades privadas;Centros adscritos;Ambos Sexos;..
Matrícula de Grado;De 21 a 25 años;Universidades privadas;Centros adscritos;Mujeres;.
Matrícula de Grado;De 21 a 25 años;Universidades privadas;Centros adscritos;Hombres;.
Matrícula de Grado;De 26 a 30 años;Total Universidades;Total Centros;Ambos Sexos;1.444
Matrícula de Grado;De 26 a 30 años;Total Universidades;Total Centros;Mujeres;797
Matrícula de Grado;De 26 a 30 años;Total Universidades;Total Centros;Hombres;647
Matrícula de Grado;De 26 a 30 años;Total Universidades;Centros propios;Ambos Sexos;1.435
Matrícula de Grado;De 26 a 30 años;Total Universidades;Centros propios;Mujeres;790
Matrícula de Grado;De 26 a 30 años;Total Universidades;Centros propios;Hombres;645
Matrícula de Grado;De 26 a 30 años;Total Universidades;Centros adscritos;Ambos Sexos;.
Matrícula de Grado;De 26 a 30 años;Total Universidades;Centros adscritos;Mujeres;.
Matrícula de Grado;De 26 a 30 años;Total Universidades;Centros adscritos;Hombres;.
Matrícula de Grado;De 26 a 30 años;Universidades públicas;Total Centros;Ambos Sexos;350
Matrícula de Grado;De 26 a 30 años;Universidades públicas;Total Centros;Mujeres;169
Matrícula de Grado;De 26 a 30 años;Universidades públicas;Total Centros;Hombres;181
Matrícula de Grado;De 26 a 30 años;Universidades públicas;Centros propios;Ambos Sexos;344
Matrícula de Grado;De 26 a 30 años;Universidades públicas;Centros propios;Mujeres;164
Matrícula de Grado;De 26 a 30 años;Universidades públicas;Centros propios;Hombres;180
Matrícula de Grado;De 26 a 30 años;Universidades públicas;Centros adscritos;Ambos Sexos;.
Matrícula de Grado;De 26 a 30 años;Universidades públicas;Centros adscritos;Mujeres;.
Matrícula de Grado;De 26 a 30 años;Universidades públicas;Centros adscritos;Hombres;.
Matrícula de Grado;De 26 a 30 años;Universidades privadas;Total Centros;Ambos Sexos;1.094
Matrícula de Grado;De 26 a 30 años;Universidades privadas;Total Centros;Mujeres;628
Matrícula de Grado;De 26 a 30 años;Universidades privadas;Total Centros;Hombres;466
Matrícula de Grado;De 26 a 30 años;Universidades privadas;Centros propios;Ambos Sexos;1.091
Matrícula de Grado;De 26 a 30 años;Universidades privadas;Centros propios;Mujeres;626
Matrícula de Grado;De 26 a 30 años;Universidades privadas;Centros propios;Hombres;465
Matrícula de Grado;De 26 a 30 años;Universidades privadas;Centros adscritos;Ambos Sexos;.
Matrícula de Grado;De 26 a 30 años;Universidades privadas;Centros adscritos;Mujeres;.
Matrícula de Grado;De 26 a 30 años;Universidades privadas;Centros adscritos;Hombres;.
Matrícula de Grado;Más de 30 años;Total Universidades;Total Centros;Ambos Sexos;3.169
Matrícula de Grado;Más de 30 años;Total Universidades;Total Centros;Mujeres;1.632
Matrícula de Grado;Más de 30 años;Total Universidades;Total Centros;Hombres;1.537
Matrícula de Grado;Más de 30 años;Total Universidades;Centros propios;Ambos Sexos;3.159
Matrícula de Grado;Más de 30 años;Total Universidades;Centros propios;Mujeres;1.624
Matrícula de Grado;Más de 30 años;Total Universidades;Centros propios;Hombres;1.535
Matrícula de Grado;Más de 30 años;Total Universidades;Centros adscritos;Ambos Sexos;..
Matrícula de Grado;Más de 30 años;Total Universidades;Centros adscritos;Mujeres;.
Matrícula de Grado;Más de 30 años;Total Universidades;Centros adscritos;Hombres;.
Matrícula de Grado;Más de 30 años;Universidades públicas;Total Centros;Ambos Sexos;407
Matrícula de Grado;Más de 30 años;Universidades públicas;Total Centros;Mujeres;208
Matrícula de Grado;Más de 30 años;Universidades públicas;Total Centros;Hombres;199
Matrícula de Grado;Más de 30 años;Universidades públicas;Centros propios;Ambos Sexos;397
Matrícula de Grado;Más de 30 años;Universidades públicas;Centros propios;Mujeres;200
Matrícula de Grado;Más de 30 años;Universidades públicas;Centros propios;Hombres;197
Matrícula de Grado;Más de 30 años;Universidades públicas;Centros adscritos;Ambos Sexos;..
Matrícula de Grado;Más de 30 años;Universidades públicas;Centros adscritos;Mujeres;.
Matrícula de Grado;Más de 30 años;Universidades públicas;Centros adscritos;Hombres;.
Matrícula de Grado;Más de 30 años;Universidades privadas;Total Centros;Ambos Sexos;2.762
Matrícula de Grado;Más de 30 años;Universidades privadas;Total Centros;Mujeres;1.424
Matrícula de Grado;Más de 30 años;Universidades privadas;Total Centros;Hombres;1.338
Matrícula de Grado;Más de 30 años;Universidades privadas;Centros propios;Ambos Sexos;2.762
Matrícula de Grado;Más de 30 años;Universidades privadas;Centros propios;Mujeres;1.424
Matrícula de Grado;Más de 30 años;Universidades privadas;Centros propios;Hombres;1.338
Matrícula de Grado;Más de 30 años;Universidades privadas;Centros adscritos;Ambos Sexos;.
Matrícula de Grado;Más de 30 años;Universidades privadas;Centros adscritos;Mujeres;.
Matrícula de Grado;Más de 30 años;Universidades privadas;Centros adscritos;Hombres;.
Matrícula de 1º y 2º Ciclo;Todas las edades;Total Universidades;Total Centros;Ambos Sexos;1.360.608
Matrícula de 1º y 2º Ciclo;Todas las edades;Total Universidades;Total Centros;Mujeres;740.449
Matrícula de 1º y 2º Ciclo;Todas las edades;Total Universidades;Total Centros;Hombres;620.159
Matrícula de 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros propios;Ambos Sexos;1.307.945
Matrícula de 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros propios;Mujeres;705.796
Matrícula de 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros propios;Hombres;602.149
Matrícula de 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros adscritos;Ambos Sexos;52.663
Matrícula de 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros adscritos;Mujeres;34.653
Matrícula de 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros adscritos;Hombres;18.010
Matrícula de 1º y 2º Ciclo;Todas las edades;Universidades públicas;Total Centros;Ambos Sexos;1.222.852
Matrícula de 1º y 2º Ciclo;Todas las edades;Universidades públicas;Total Centros;Mujeres;667.458
Matrícula de 1º y 2º Ciclo;Todas las edades;Universidades públicas;Total Centros;Hombres;555.394
Matrícula de 1º y 2º Ciclo;Todas las edades;Universidades públicas;Centros propios;Ambos Sexos;1.170.189
Matrícula de 1º y 2º Ciclo;Todas las edades;Universidades públicas;Centros propios;Mujeres;632.805
Matrícula de 1º y 2º Ciclo;Todas las edades;Universidades públicas;Centros propios;Hombres;537.384
