Universidad;Ámbito de estudio ISCED 1999;Total
Autónoma de Barcelona;145 - Formación de docentes de enseñanza de temas especiales;132
Autónoma de Barcelona;146 - Formación de docentes de formación profesional;231
Autónoma de Barcelona;2 - Artes y humanidades;4.614
Autónoma de Barcelona;210 - Artes;.
Autónoma de Barcelona;211 - Bellas artes;419
Autónoma de Barcelona;212 - Música y artes del espectáculo;142
Autónoma de Barcelona;213 - Técnicas audiovisuales y medios de comunicación;376
Autónoma de Barcelona;214 - Diseño;129
Autónoma de Barcelona;220 - Humanidades;341
Autónoma de Barcelona;222 - Lenguas extranjeras;1.797
Autónoma de Barcelona;223 - Lenguas y dialectos españoles;382
Autónoma de Barcelona;224 - Historia, filosofía y temas relacionados;.
Autónoma de Barcelona;225 - Historia y arqueología;753
Autónoma de Barcelona;226 - Filosofía y ética;275
Autónoma de Barcelona;3 - Ciencias sociales, educación comercial y derecho;12.486
Autónoma de Barcelona;310 - Ciencias sociales y del comportamiento;.
Autónoma de Barcelona;311 - Psicología;1.832
Autónoma de Barcelona;312 - Sociología, antropología y geografía social y cultural;1.380
Autónoma de Barcelona;313 - Ciencias políticas;585
Autónoma de Barcelona;314 - Economía;1.131
Autónoma de Barcelona;321 - Periodismo;1.552
Autónoma de Barcelona;322 - Biblioteconomía, documentación y archivos;..
Autónoma de Barcelona;342 - Marketing y publicidad;504
Autónoma de Barcelona;343 - Finanzas, banca y seguros;.
Autónoma de Barcelona;345 - Administración y gestión de empresas;3.542
Autónoma de Barcelona;347 - Otros estudios referidos al puesto de trabajo;.
Autónoma de Barcelona;380 - Derecho;1.933
Autónoma de Barcelona;4 - Ciencias;5.393
Autónoma de Barcelona;421 - Biología y Bioquímica;1.520
Autónoma de Barcelona;422 - Ciencias del medio ambiente;644
Autónoma de Barcelona;441 - Física;359
Autónoma de Barcelona;442 - Química;595
Autónoma de Barcelona;443 - Geología y meteorología;230
Autónoma de Barcelona;461 - Matemáticas;254
Autónoma de Barcelona;462 - Estadística;100
Autónoma de Barcelona;481 - Ciencias de la computación;1.691
Autónoma de Barcelona;482 - Informática en el nivel de usuario;.
Autónoma de Barcelona;5 - Ingeniería, industria y construcción;1.949
Autónoma de Barcelona;520 - Ingeniería y profesiones afines;.
Autónoma de Barcelona;521 - Mecánica y metalurgia;333
Autónoma de Barcelona;522 - Electricidad y energía;124
Autónoma de Barcelona;523 - Electrónica y automática;608
Autónoma de Barcelona;524 - Procesos químicos;810
Autónoma de Barcelona;525 - Vehículos de motor, barcos y aeronaves;.
Autónoma de Barcelona;541 - Industria de la alimentación;..
Autónoma de Barcelona;542 - Industria textil, confección, del calzado y piel;.
Autónoma de Barcelona;543 - Industrias de otros materiales (madera, papel, plástico, vidrio);.
Autónoma de Barcelona;544 - Minería y extracción;.
Autónoma de Barcelona;581 - Arquitectura y urbanismo;.
Autónoma de Barcelona;582 - Construcción e ingeniería civil;.
Autónoma de Barcelona;6 - Agricultura y veterinaria;859
Autónoma de Barcelona;620 - Agricultura, ganadería y pesca;.
Autónoma de Barcelona;621 - Producción agrícola y explotación ganadera;.
Autónoma de Barcelona;622 - Horticultura;.
Autónoma de Barcelona;623 - Silvicultura;.
Autónoma de Barcelona;641 - Veterinaria;859
Autónoma de Barcelona;7 - Salud y servicios sociales;5.260
Autónoma de Barcelona;721 - Medicina;1.927
Autónoma de Barcelona;723 - Enfermería y atención a enfermos;1.626
Autónoma de Barcelona;724 - Estudios dentales;.
Autónoma de Barcelona;725 - Tecnología de diagnóstico y tratamiento médico;.
Autónoma de Barcelona;726 - Terapia y rehabilitación;1.707
Autónoma de Barcelona;727 - Farmacia;.
Autónoma de Barcelona;762 - Trabajo social y orientación;.
Autónoma de Barcelona;8 - Servicios;590
Autónoma de Barcelona;812 - Viajes, turismo y ocio;412
Autónoma de Barcelona;813 - Deportes;.
Autónoma de Barcelona;840 - Servicios de transporte;122
Autónoma de Barcelona;861 - Protección de la propiedad y las personas;..
Autónoma de Madrid;Total;27.739
Autónoma de Madrid;1 - Educación;3.937
Autónoma de Madrid;142 - Ciencias de la educación;272
Autónoma de Madrid;143 - Formación de docentes de enseñanza infantil;1.258
Autónoma de Madrid;144 - Formación de docentes de enseñanza primaria;1.272
Autónoma de Madrid;145 - Formación de docentes de enseñanza de temas especiales;703
Autónoma de Madrid;146 - Formación de docentes de formación profesional;432
Autónoma de Madrid;2 - Artes y humanidades;3.126
Autónoma de Madrid;210 - Artes;.
Autónoma de Madrid;211 - Bellas artes;574
Autónoma de Madrid;212 - Música y artes del espectáculo;131
Autónoma de Madrid;213 - Técnicas audiovisuales y medios de comunicación;.
Autónoma de Madrid;214 - Diseño;.
Autónoma de Madrid;220 - Humanidades;..
Autónoma de Madrid;222 - Lenguas extranjeras;1.298
Autónoma de Madrid;223 - Lenguas y dialectos españoles;209
Autónoma de Madrid;224 - Historia, filosofía y temas relacionados;.
Autónoma de Madrid;225 - Historia y arqueología;656
Autónoma de Madrid;226 - Filosofía y ética;238
Autónoma de Madrid;3 - Ciencias sociales, educación comercial y derecho;11.431
Autónoma de Madrid;310 - Ciencias sociales y del comportamiento;.
Autónoma de Madrid;311 - Psicología;2.252
Autónoma de Madrid;312 - Sociología, antropología y geografía social y cultural;355
Autónoma de Madrid;313 - Ciencias políticas;550
Autónoma de Madrid;314 - Economía;1.616
Autónoma de Madrid;321 - Periodismo;.
Autónoma de Madrid;322 - Biblioteconomía, documentación y archivos;.
Autónoma de Madrid;342 - Marketing y publicidad;127
Autónoma de Madrid;343 - Finanzas, banca y seguros;.
Autónoma de Madrid;345 - Administración y gestión de empresas;2.670
Autónoma de Madrid;347 - Otros estudios referidos al puesto de trabajo;.
Autónoma de Madrid;380 - Derecho;3.861
Autónoma de Madrid;4 - Ciencias;4.783
Autónoma de Madrid;421 - Biología y Bioquímica;1.531
Autónoma de Madrid;422 - Ciencias del medio ambiente;638
Autónoma de Madrid;441 - Física;484
Autónoma de Madrid;442 - Química;652
Autónoma de Madrid;443 - Geología y meteorología;.
Autónoma de Madrid;461 - Matemáticas;489
Autónoma de Madrid;462 - Estadística;.
Autónoma de Madrid;481 - Ciencias de la computación;989
Autónoma de Madrid;482 - Informática en el nivel de usuario;.
Autónoma de Madrid;5 - Ingeniería, industria y construcción;852
Autónoma de Madrid;520 - Ingeniería y profesiones afines;.
Autónoma de Madrid;521 - Mecánica y metalurgia;.
