Nivel y Ciclo;Nacionalidad (regiones);Tipo de universidad;Tipo de centro;Sexo;Total
Matrícula de Grado;TOTAL;Universidades privadas;Total Centros;Ambos Sexos;165.340
Matrícula de Grado;TOTAL;Universidades privadas;Total Centros;Mujeres;92.257
Matrícula de Grado;TOTAL;Universidades privadas;Total Centros;Hombres;73.083
Matrícula de Grado;TOTAL;Universidades privadas;Centros propios;Ambos Sexos;159.656
Matrícula de Grado;TOTAL;Universidades privadas;Centros propios;Mujeres;89.102
Matrícula de Grado;TOTAL;Universidades privadas;Centros propios;Hombres;70.554
Matrícula de Grado;TOTAL;Universidades privadas;Centros adscritos;Ambos Sexos;5.684
Matrícula de Grado;TOTAL;Universidades privadas;Centros adscritos;Mujeres;3.155
Matrícula de Grado;TOTAL;Universidades privadas;Centros adscritos;Hombres;2.529
Matrícula de Grado;España;Total Universidades;Total Centros;Ambos Sexos;1.201.047
Matrícula de Grado;España;Total Universidades;Total Centros;Mujeres;656.931
Matrícula de Grado;España;Total Universidades;Total Centros;Hombres;544.116
Matrícula de Grado;España;Total Universidades;Centros propios;Ambos Sexos;1.141.501
Matrícula de Grado;España;Total Universidades;Centros propios;Mujeres;622.776
Matrícula de Grado;España;Total Universidades;Centros propios;Hombres;518.725
