Universidad;Ámbito de estudio ISCED 1999;Total
Autónoma de Barcelona;213 - Técnicas audiovisuales y medios de comunicación;299
Autónoma de Barcelona;214 - Diseño;229
Autónoma de Barcelona;220 - Humanidades;358
Autónoma de Barcelona;222 - Lenguas extranjeras;1.887
Autónoma de Barcelona;223 - Lenguas y dialectos españoles;489
Autónoma de Barcelona;224 - Historia, filosofía y temas relacionados;..
Autónoma de Barcelona;225 - Historia y arqueología;808
Autónoma de Barcelona;226 - Filosofía y ética;283
Autónoma de Barcelona;3 - Ciencias sociales, educación comercial y derecho;12.563
Autónoma de Barcelona;310 - Ciencias sociales y del comportamiento;..
Autónoma de Barcelona;311 - Psicología;1.748
Autónoma de Barcelona;312 - Sociología, antropología y geografía social y cultural;1.418
Autónoma de Barcelona;313 - Ciencias políticas;573
Autónoma de Barcelona;314 - Economía;1.123
Autónoma de Barcelona;321 - Periodismo;1.611
Autónoma de Barcelona;322 - Biblioteconomía, documentación y archivos;21
Autónoma de Barcelona;341 - Ventas al por mayor y al por menor;..
Autónoma de Barcelona;342 - Marketing y publicidad;526
Autónoma de Barcelona;343 - Finanzas, banca y seguros;169
Autónoma de Barcelona;344 - Contabilidad y gestión de impuestos;..
Autónoma de Barcelona;345 - Administración y gestión de empresas;3.259
Autónoma de Barcelona;346 - Secretariado y trabajo administrativo;..
Autónoma de Barcelona;347 - Otros estudios referidos al puesto de trabajo;..
Autónoma de Barcelona;380 - Derecho;2.115
Autónoma de Barcelona;4 - Ciencias;5.566
Autónoma de Barcelona;421 - Biología y Bioquímica;1.613
Autónoma de Barcelona;422 - Ciencias del medio ambiente;683
Autónoma de Barcelona;440 - Ciencias Físicas, químicas, geológicas;68
Autónoma de Barcelona;441 - Física;402
Autónoma de Barcelona;442 - Química;591
Autónoma de Barcelona;443 - Geología y meteorología;247
Autónoma de Barcelona;461 - Matemáticas;275
Autónoma de Barcelona;462 - Estadística;106
Autónoma de Barcelona;481 - Ciencias de la computación;1.581
Autónoma de Barcelona;482 - Informática en el nivel de usuario;..
Autónoma de Barcelona;5 - Ingeniería, industria y construcción;2.016
Autónoma de Barcelona;520 - Ingeniería y profesiones afines;..
Autónoma de Barcelona;521 - Mecánica y metalurgia;310
Autónoma de Barcelona;522 - Electricidad y energía;111
Autónoma de Barcelona;523 - Electrónica y automática;650
Autónoma de Barcelona;524 - Procesos químicos;816
Autónoma de Barcelona;525 - Vehículos de motor, barcos y aeronaves;..
Autónoma de Barcelona;540 - Industria manufacturera y producción;..
Autónoma de Barcelona;541 - Industria de la alimentación;129
Autónoma de Barcelona;542 - Industria textil, confección, del calzado y piel;..
Autónoma de Barcelona;543 - Industrias de otros materiales (madera, papel, plástico, vidrio);..
Autónoma de Barcelona;544 - Minería y extracción;..
Autónoma de Barcelona;581 - Arquitectura y urbanismo;..
Autónoma de Barcelona;582 - Construcción e ingeniería civil;..
Autónoma de Barcelona;6 - Agricultura y veterinaria;864
Autónoma de Barcelona;620 - Agricultura, ganadería y pesca;..
Autónoma de Barcelona;621 - Producción agrícola y explotación ganadera;..
Autónoma de Barcelona;622 - Horticultura;..
Autónoma de Barcelona;623 - Silvicultura;..
Autónoma de Barcelona;641 - Veterinaria;864
Autónoma de Barcelona;7 - Salud y servicios sociales;5.727
Autónoma de Barcelona;721 - Medicina;1.977
Autónoma de Barcelona;723 - Enfermería y atención a enfermos;1.680
Autónoma de Barcelona;724 - Estudios dentales;..
Autónoma de Barcelona;725 - Tecnología de diagnóstico y tratamiento médico;..
Autónoma de Barcelona;726 - Terapia y rehabilitación;2.070
Autónoma de Barcelona;727 - Farmacia;..
Autónoma de Barcelona;762 - Trabajo social y orientación;..
Autónoma de Barcelona;8 - Servicios;702
Autónoma de Barcelona;812 - Viajes, turismo y ocio;414
