Sexo;Universidad;Ámbito de estudio ISCED 1999;Total
Ambos Sexos;Alcalá;314 - Economía;873
Ambos Sexos;Alcalá;321 - Periodismo;.
Ambos Sexos;Alcalá;322 - Biblioteconomía, documentación y archivos;.
Ambos Sexos;Alcalá;342 - Marketing y publicidad;.
Ambos Sexos;Alcalá;343 - Finanzas, banca y seguros;275
Ambos Sexos;Alcalá;344 - Contabilidad y gestión de impuestos;.
Ambos Sexos;Alcalá;345 - Administración y gestión de empresas;1.136
Ambos Sexos;Alcalá;380 - Derecho;698
Ambos Sexos;Alcalá;Total Ciencias;2.386
Ambos Sexos;Alcalá;421 - Biología y Bioquímica;860
Ambos Sexos;Alcalá;422 - Ciencias del medio ambiente;417
Ambos Sexos;Alcalá;440 - Ciencias Físicas, químicas, geológicas;.
Ambos Sexos;Alcalá;441 - Física;.
Ambos Sexos;Alcalá;442 - Química;393
Ambos Sexos;Alcalá;443 - Geología y meteorología;.
Ambos Sexos;Alcalá;461 - Matemáticas;.
Ambos Sexos;Alcalá;462 - Estadística;..
Ambos Sexos;Alcalá;481 - Ciencias de la computación;699
Ambos Sexos;Alcalá;Total Ingeniería, industria y construcción;2.944
Ambos Sexos;Alcalá;520 - Ingeniería y profesiones afines;.
Ambos Sexos;Alcalá;521 - Mecánica y metalurgia;.
Ambos Sexos;Alcalá;522 - Electricidad y energía;.
Ambos Sexos;Alcalá;523 - Electrónica y automática;1.995
Ambos Sexos;Alcalá;524 - Procesos químicos;.
Ambos Sexos;Alcalá;525 - Vehículos de motor, barcos y aeronaves;.
Ambos Sexos;Alcalá;541 - Industria de la alimentación;.
Ambos Sexos;Alcalá;542 - Industria textil, confección, del calzado y piel;.
Ambos Sexos;Alcalá;543 - Industrias de otros materiales (madera, papel, plástico, vidrio);.
Ambos Sexos;Alcalá;544 - Minería y extracción;.
Ambos Sexos;Alcalá;581 - Arquitectura y urbanismo;949
Ambos Sexos;Alcalá;582 - Construcción e ingeniería civil;.
Ambos Sexos;Alcalá;Total Agricultura y veterinaria;.
Ambos Sexos;Alcalá;620 - Agricultura, ganadería y pesca;.
Ambos Sexos;Alcalá;621 - Producción agrícola y explotación ganadera;.
Ambos Sexos;Alcalá;622 - Horticultura;.
Ambos Sexos;Alcalá;623 - Silvicultura;.
Ambos Sexos;Alcalá;641 - Veterinaria;.
Ambos Sexos;Alcalá;Total Salud y servicios sociales;2.781
Ambos Sexos;Alcalá;720 - Salud;.
Ambos Sexos;Alcalá;721 - Medicina;886
Ambos Sexos;Alcalá;723 - Enfermería y atención a enfermos;742
Ambos Sexos;Alcalá;724 - Estudios dentales;.
Ambos Sexos;Alcalá;725 - Tecnología de diagnóstico y tratamiento médico;.
Ambos Sexos;Alcalá;726 - Terapia y rehabilitación;270
Ambos Sexos;Alcalá;727 - Farmacia;883
Ambos Sexos;Alcalá;762 - Trabajo social y orientación;.
Ambos Sexos;Alcalá;Total Servicios;823
Ambos Sexos;Alcalá;811 - Hostelería;.
Ambos Sexos;Alcalá;812 - Viajes, turismo y ocio;416
Ambos Sexos;Alcalá;813 - Deportes;407
Ambos Sexos;Alcalá;840 - Servicios de transporte;.
Ambos Sexos;Alcalá;851 - Control y tecnología medioambiental;.
Ambos Sexos;Alcalá;861 - Protección de la propiedad y las personas;.
Ambos Sexos;Alcalá;862 - Salud y seguridad en el trabajo;.
Ambos Sexos;Alcalá;863 - Enseñanza militar;.
Ambos Sexos;Alicante;Total Ámbito;24.385
Ambos Sexos;Alicante;Total Educación;3.138
Ambos Sexos;Alicante;140 - Formación de personal docente y ciencias de la educación;.
Ambos Sexos;Alicante;142 - Ciencias de la educación;..
Ambos Sexos;Alicante;143 - Formación de docentes de enseñanza infantil;1.366
Ambos Sexos;Alicante;144 - Formación de docentes de enseñanza primaria;1.661
Ambos Sexos;Alicante;145 - Formación de docentes de enseñanza de temas especiales;..
Ambos Sexos;Alicante;146 - Formación de docentes de formación profesional;..
Ambos Sexos;Alicante;Total Artes y humanidades;2.588
Ambos Sexos;Alicante;211 - Bellas artes;.
Ambos Sexos;Alicante;212 - Música y artes del espectáculo;.
Ambos Sexos;Alicante;213 - Técnicas audiovisuales y medios de comunicación;.
Ambos Sexos;Alicante;214 - Diseño;.
Ambos Sexos;Alicante;220 - Humanidades;119
Ambos Sexos;Alicante;222 - Lenguas extranjeras;1.505
Ambos Sexos;Alicante;223 - Lenguas y dialectos españoles;362
Ambos Sexos;Alicante;225 - Historia y arqueología;602
Ambos Sexos;Alicante;226 - Filosofía y ética;.
Ambos Sexos;Alicante;Total Ciencias sociales, educación comercial y derecho;8.567
Ambos Sexos;Alicante;311 - Psicología;.
Ambos Sexos;Alicante;312 - Sociología, antropología y geografía social y cultural;1.312
Ambos Sexos;Alicante;313 - Ciencias políticas;.
Ambos Sexos;Alicante;314 - Economía;531
Ambos Sexos;Alicante;321 - Periodismo;.
Ambos Sexos;Alicante;322 - Biblioteconomía, documentación y archivos;.
Ambos Sexos;Alicante;342 - Marketing y publicidad;1.136
Ambos Sexos;Alicante;343 - Finanzas, banca y seguros;.
Ambos Sexos;Alicante;344 - Contabilidad y gestión de impuestos;.
Ambos Sexos;Alicante;345 - Administración y gestión de empresas;3.172
Ambos Sexos;Alicante;380 - Derecho;2.416
Ambos Sexos;Alicante;Total Ciencias;3.134
Ambos Sexos;Alicante;421 - Biología y Bioquímica;741
Ambos Sexos;Alicante;422 - Ciencias del medio ambiente;130
Ambos Sexos;Alicante;440 - Ciencias Físicas, químicas, geológicas;.
Ambos Sexos;Alicante;441 - Física;.
Ambos Sexos;Alicante;442 - Química;337
Ambos Sexos;Alicante;443 - Geología y meteorología;365
Ambos Sexos;Alicante;461 - Matemáticas;246
Ambos Sexos;Alicante;462 - Estadística;.
Ambos Sexos;Alicante;481 - Ciencias de la computación;1.315
Ambos Sexos;Alicante;Total Ingeniería, industria y construcción;3.123
Ambos Sexos;Alicante;520 - Ingeniería y profesiones afines;.
Ambos Sexos;Alicante;521 - Mecánica y metalurgia;.
Ambos Sexos;Alicante;522 - Electricidad y energía;.
Ambos Sexos;Alicante;523 - Electrónica y automática;318
Ambos Sexos;Alicante;524 - Procesos químicos;306
Ambos Sexos;Alicante;525 - Vehículos de motor, barcos y aeronaves;.
Ambos Sexos;Alicante;541 - Industria de la alimentación;.
Ambos Sexos;Alicante;542 - Industria textil, confección, del calzado y piel;.
Ambos Sexos;Alicante;543 - Industrias de otros materiales (madera, papel, plástico, vidrio);.
Ambos Sexos;Alicante;544 - Minería y extracción;.
Ambos Sexos;Alicante;581 - Arquitectura y urbanismo;1.496
Ambos Sexos;Alicante;582 - Construcción e ingeniería civil;1.003
Ambos Sexos;Alicante;Total Agricultura y veterinaria;.
Ambos Sexos;Alicante;620 - Agricultura, ganadería y pesca;.
Ambos Sexos;Alicante;621 - Producción agrícola y explotación ganadera;.
Ambos Sexos;Alicante;622 - Horticultura;.
Ambos Sexos;Alicante;623 - Silvicultura;.
Ambos Sexos;Alicante;641 - Veterinaria;.
Ambos Sexos;Alicante;Total Salud y servicios sociales;2.143
Ambos Sexos;Alicante;720 - Salud;.
Ambos Sexos;Alicante;721 - Medicina;.
Ambos Sexos;Alicante;723 - Enfermería y atención a enfermos;813
Ambos Sexos;Alicante;724 - Estudios dentales;.
Ambos Sexos;Alicante;725 - Tecnología de diagnóstico y tratamiento médico;231
Ambos Sexos;Alicante;726 - Terapia y rehabilitación;388
Ambos Sexos;Alicante;727 - Farmacia;.
Ambos Sexos;Alicante;762 - Trabajo social y orientación;711
Ambos Sexos;Alicante;Total Servicios;1.692
Ambos Sexos;Alicante;811 - Hostelería;.
Ambos Sexos;Alicante;812 - Viajes, turismo y ocio;1.259
Ambos Sexos;Alicante;813 - Deportes;433
Ambos Sexos;Alicante;840 - Servicios de transporte;.
Ambos Sexos;Alicante;851 - Control y tecnología medioambiental;.
Ambos Sexos;Alicante;861 - Protección de la propiedad y las personas;.
Ambos Sexos;Alicante;862 - Salud y seguridad en el trabajo;.
Ambos Sexos;Alicante;863 - Enseñanza militar;.
Ambos Sexos;Almería;Total Ámbito;11.649
Ambos Sexos;Almería;Total Educación;2.291
Ambos Sexos;Almería;140 - Formación de personal docente y ciencias de la educación;.
Ambos Sexos;Almería;142 - Ciencias de la educación;287
Ambos Sexos;Almería;143 - Formación de docentes de enseñanza infantil;952
Ambos Sexos;Almería;144 - Formación de docentes de enseñanza primaria;1.007
Ambos Sexos;Almería;145 - Formación de docentes de enseñanza de temas especiales;..
Ambos Sexos;Almería;146 - Formación de docentes de formación profesional;..
Ambos Sexos;Almería;Total Artes y humanidades;836
Ambos Sexos;Almería;211 - Bellas artes;.
Ambos Sexos;Almería;212 - Música y artes del espectáculo;.
Ambos Sexos;Almería;213 - Técnicas audiovisuales y medios de comunicación;.
Ambos Sexos;Almería;214 - Diseño;.
Ambos Sexos;Almería;220 - Humanidades;..
Ambos Sexos;Almería;222 - Lenguas extranjeras;316
Ambos Sexos;Almería;223 - Lenguas y dialectos españoles;220
Ambos Sexos;Almería;225 - Historia y arqueología;223
