Tipo de universidad;Comunidad Autónoma;Nacionalidad (regiones);Sexo;Total
Total Universidades;Murcia (Región de);Norte de África;Mujeres;102
Total Universidades;Murcia (Región de);Norte de África;Hombres;82
Total Universidades;Murcia (Región de);Resto de África;Ambos sexos;24
Total Universidades;Murcia (Región de);Resto de África;Mujeres;9
Total Universidades;Murcia (Región de);Resto de África;Hombres;15
Total Universidades;Murcia (Región de);Asia y Oceanía;Ambos sexos;33
Total Universidades;Murcia (Región de);Asia y Oceanía;Mujeres;11
Total Universidades;Murcia (Región de);Asia y Oceanía;Hombres;22
Total Universidades;Navarra (Comunidad Foral de);Total;Ambos sexos;14.749
Total Universidades;Navarra (Comunidad Foral de);Total;Mujeres;7.910
Total Universidades;Navarra (Comunidad Foral de);Total;Hombres;6.839
Total Universidades;Navarra (Comunidad Foral de);España;Ambos sexos;13.952
Total Universidades;Navarra (Comunidad Foral de);España;Mujeres;7.530
Total Universidades;Navarra (Comunidad Foral de);España;Hombres;6.422
Total Universidades;Navarra (Comunidad Foral de);Unión Europea (28);Ambos sexos;146
Total Universidades;Navarra (Comunidad Foral de);Unión Europea (28);Mujeres;97
Total Universidades;Navarra (Comunidad Foral de);Unión Europea (28);Hombres;49
Total Universidades;Navarra (Comunidad Foral de);Resto de Europa;Ambos sexos;43
Total Universidades;Navarra (Comunidad Foral de);Resto de Europa;Mujeres;28
Total Universidades;Navarra (Comunidad Foral de);Resto de Europa;Hombres;15
Total Universidades;Navarra (Comunidad Foral de);EE.UU. y Canadá;Ambos sexos;29
Total Universidades;Navarra (Comunidad Foral de);EE.UU. y Canadá;Mujeres;17
Total Universidades;Navarra (Comunidad Foral de);EE.UU. y Canadá;Hombres;12
